지역,소재부품장비코드,소재부품장비코드명,사업체수,종업원수,부가가치세금액_백만원,생산금액_백만원,출하금액_백만원,재고금액_백만원
서울,소재부품장비,00000,794,20277,2825634,6876555,6821535,392365
서울,소재,10000,128,3184,724222,1706433,1684568,103030
서울,섬유제품,11000,63,1136,198681,751660,753276,25229
서울,화학물질 및 화학제품,12000,31,1249,302471,521329,519257,22201
서울,고무 및 플라스틱제품,13000,22,667,208849,393277,372422,53820
서울,비금속 광물제품,14000,7,79,9864,24339,24301,1010
서울,1차 금속제품,15000,5,53,4357,15828,15312,770
서울,부품,20000,544,14204,1738782,4293962,4261092,250048
서울,금속가공제품,21000,31,593,87282,156837,156885,13901
서울,일반기계부품,22000,133,3183,390121,812725,811211,31046
서울,전기장비부품,24000,150,3824,402259,1157800,1142331,71871
서울,전자부품,25000,161,4707,630694,1669936,1660685,90977
서울,정밀기기부품,26000,51,1380,182947,403755,397649,40211
서울,수송기계부품,27000,18,517,45479,92909,92331,2042
서울,장비,30000,122,2889,362630,876160,875875,39287
서울,정밀가공장비,31000,8,214,11671,20475,22302,4832
서울,산업공정장비,32000,52,1222,190074,538639,538629,13658
서울,반도체·디스플레이장비,33000,10,418,67179,118225,118950,9430
서울,제조로봇 자동화장비,34000,8,200,12552,19129,18184,2266
서울,계측장비,35000,44,835,81154,179692,177810,9101
인천,소재부품장비,00000,2210,86260,13514080,44500110,44374616,1930743
인천,소재,10000,388,15504,3879739,16289734,16316708,707907
인천,섬유제품,11000,9,180,18887,45090,43790,6282
인천,화학물질 및 화학제품,12000,90,3121,1191387,3967494,3933102,162440
인천,고무 및 플라스틱제품,13000,152,5525,758866,1873788,1865896,78277
인천,비금속 광물제품,14000,31,571,61474,153714,153556,8287
인천,1차 금속제품,15000,106,6107,1849125,10249648,10320364,452621
인천,부품,20000,1528,61362,8281733,25037364,24898020,1053607
인천,금속가공제품,21000,290,7853,925494,2081282,2064221,159584
인천,일반기계부품,22000,525,15481,1913452,5391988,5369400,217461
인천,전기장비부품,24000,237,8243,1100948,3688629,3672661,172322
인천,전자부품,25000,277,19568,2832963,9449419,9384058,310515
인천,정밀기기부품,26000,51,1358,160407,336530,338342,17417
인천,수송기계부품,27000,148,8859,1348469,4089516,4069338,176308
인천,장비,30000,294,9394,1352608,3173012,3159888,169229
인천,정밀가공장비,31000,53,1284,161723,522466,528104,57959
인천,산업공정장비,32000,163,4453,627976,1463614,1453387,65871
인천,반도체·디스플레이장비,33000,38,2196,383918,726129,719074,24961
인천,제조로봇 자동화장비,34000,19,657,83721,256706,257912,5689
인천,계측장비,35000,21,804,95270,204097,201411,14749
경기,소재부품장비,00000,11136,494878,167199506,333057629,327525621,15222407
경기,소재,10000,2832,88281,15940204,49831177,49489934,2789015
경기,섬유제품,11000,354,8647,1019684,2647265,2624231,187562
경기,화학물질 및 화학제품,12000,680,27784,6765089,18093565,17977111,1195505
경기,고무 및 플라스틱제품,13000,1034,28688,3862400,10889343,10799600,552648
경기,비금속 광물제품,14000,228,6902,1244401,2878414,2845685,130317
경기,1차 금속제품,15000,536,16260,3048630,15322590,15243307,722983
경기,부품,20000,6608,344542,140329399,256836024,251847398,11391571
경기,금속가공제품,21000,1342,32891,4012111,10440318,10394885,447415
경기,일반기계부품,22000,1978,61147,8195942,20950083,20835832,871761
경기,전기장비부품,24000,1346,43704,5897625,17998378,17901497,708265
경기,전자부품,25000,1015,157967,114877637,182998289,178274460,8549847
